ts,time,TAC,blocked,cutoff,volte,msg,tot,tot_c
1018023,10/18/2018 2:30,28682,51,105,26637,1804,90022,0.99826709
1018023,10/18/2018 2:30,28683,106,57,15413,562,49020,0.996674827
1018023,10/18/2018 2:30,28684,84,143,19165,1087,80576,0.997182784
1018023,10/18/2018 2:30,28685,120,139,22243,1322,91352,0.997164813
1018023,10/18/2018 2:30,28688,95,111,21437,1300,73493,0.997197012
1018023,10/18/2018 2:30,29449,39,70,3917,347,15543,0.992987197
1018023,10/18/2018 2:30,29465,0,39,2131,241,7992,0.99512012
1018024,10/18/2018 2:40,27214,0,27,3573,387,14598,0.998150432
1018024,10/18/2018 2:40,28672,6,6,108,12,726,0.983471074
1018024,10/18/2018 2:40,28681,20,78,10094,1265,44427,0.997794134
1018024,10/18/2018 2:40,28682,20,96,24630,1725,91471,0.998731839
1018024,10/18/2018 2:40,28683,42,56,14638,556,46961,0.997913162
1018024,10/18/2018 2:40,28684,25,126,17243,1036,77657,0.998055552
1018024,10/18/2018 2:40,28685,40,232,20262,1563,89173,0.996949749
1018024,10/18/2018 2:40,28688,57,137,20491,1412,72396,0.997320294
1018024,10/18/2018 2:40,29449,41,100,3533,401,15341,0.990808943
1018024,10/18/2018 2:40,29465,17,52,1651,192,7080,0.990254237
1018025,10/18/2018 2:50,27214,6,6,2820,480,13779,0.99912911
1018025,10/18/2018 2:50,28672,0,6,120,12,630,0.99047619
1018025,10/18/2018 2:50,28681,6,76,10948,1273,44693,0.998165261
1018025,10/18/2018 2:50,28682,66,94,21281,1406,86694,0.998154428
1018025,10/18/2018 2:50,28683,52,80,12575,672,44253,0.997017151
1018025,10/18/2018 2:50,28684,33,132,15854,914,76254,0.997836179
1018025,10/18/2018 2:50,28685,61,157,19848,1211,86107,0.997468266
1018025,10/18/2018 2:50,28688,104,129,18328,1164,68777,0.99661224
1018025,10/18/2018 2:50,29449,35,74,3135,250,14489,0.992477052
1018025,10/18/2018 2:50,29465,0,28,1303,164,6956,0.995974698
1018030,10/18/2018 3:00,27214,60,51,2559,384,13887,0.992006913
1018030,10/18/2018 3:00,28672,0,0,42,6,546,1
1018030,10/18/2018 3:00,28681,28,39,10019,1120,42072,0.998407492
1018030,10/18/2018 3:00,28682,51,104,21513,1396,84765,0.998171415
1018030,10/18/2018 3:00,28683,10,48,13756,488,45122,0.998714596
1018030,10/18/2018 3:00,28684,31,81,14289,1073,74926,0.998505192
1018030,10/18/2018 3:00,28685,111,113,17740,1129,84584,0.997351745
1018030,10/18/2018 3:00,28688,26,128,17979,815,68707,0.997758598
1018030,10/18/2018 3:00,29449,49,61,2812,263,14913,0.992623885
1018030,10/18/2018 3:00,29465,10,10,1415,241,7056,0.997165533
1018031,10/18/2018 3:10,27214,0,12,2220,429,13530,0.999113082
1018031,10/18/2018 3:10,28672,0,0,60,12,552,1
1018031,10/18/2018 3:10,28681,22,48,8579,886,40861,0.998286875
1018031,10/18/2018 3:10,28682,54,130,19671,1433,84332,0.997818147
1018031,10/18/2018 3:10,28683,46,40,12354,642,43721,0.998032982
1018031,10/18/2018 3:10,28684,18,52,13237,739,72931,0.999040189
1018031,10/18/2018 3:10,28685,54,88,15028,798,80503,0.998236091
1018031,10/18/2018 3:10,28688,44,178,15669,958,65002,0.99658472
1018031,10/18/2018 3:10,29449,32,130,2656,273,14425,0.988769497
1018031,10/18/2018 3:10,29465,9,50,1646,269,7979,0.99260559
1018032,10/18/2018 3:20,27214,15,24,2196,273,11385,0.99657444
1018032,10/18/2018 3:20,28672,0,0,30,6,564,1
1018032,10/18/2018 3:20,28681,14,144,7259,1018,38420,0.995887559
1018032,10/18/2018 3:20,28682,63,112,18067,1056,80785,0.997833756
1018032,10/18/2018 3:20,28683,12,61,11431,605,42253,0.998272312
1018032,10/18/2018 3:20,28684,12,136,11896,906,72001,0.997944473
1018032,10/18/2018 3:20,28685,30,123,13967,995,76987,0.998012651
1018032,10/18/2018 3:20,28688,40,127,13961,812,63252,0.997359767
1018032,10/18/2018 3:20,29449,53,85,2297,204,13508,0.989783832
1018032,10/18/2018 3:20,29465,0,10,1089,271,6695,0.998506348
1018033,10/18/2018 3:30,27214,0,9,1890,237,13119,0.999313972
1018033,10/18/2018 3:30,28672,0,0,78,6,546,1
1018033,10/18/2018 3:30,28681,8,98,6684,825,38479,0.997245251
1018033,10/18/2018 3:30,28682,40,107,16123,1146,76431,0.998076697
1018033,10/18/2018 3:30,28683,6,35,12271,444,43518,0.999057861
1018033,10/18/2018 3:30,28684,10,26,10879,777,68284,0.99947279
1018033,10/18/2018 3:30,28685,18,37,12339,738,77861,0.999293613
1018033,10/18/2018 3:30,28688,0,62,12484,667,60616,0.998977168
1018033,10/18/2018 3:30,29449,35,8,2025,165,12877,0.996660713
1018033,10/18/2018 3:30,29465,0,0,917,228,6527,1
1018034,10/18/2018 3:40,27214,0,0,1566,177,11778,1
1018034,10/18/2018 3:40,28672,0,0,66,18,618,1
1018034,10/18/2018 3:40,28681,30,27,5892,727,35878,0.998411283
1018034,10/18/2018 3:40,28682,50,119,13792,856,74335,0.997726508
1018034,10/18/2018 3:40,28683,10,85,8901,309,36490,0.997396547
1018034,10/18/2018 3:40,28684,6,97,9193,582,64850,0.998411719
1018034,10/18/2018 3:40,28685,6,63,10692,803,73264,0.9990582
1018034,10/18/2018 3:40,28688,20,58,11054,599,56160,0.998611111
1018034,10/18/2018 3:40,29449,15,52,2012,128,13138,0.994900289
1018034,10/18/2018 3:40,29465,8,0,736,116,5941,0.998653425
1018035,10/18/2018 3:50,27214,0,24,1428,273,11691,0.997947139
1018035,10/18/2018 3:50,28672,0,0,60,0,510,1
1018035,10/18/2018 3:50,28681,0,57,5120,466,34925,0.998367931
1018035,10/18/2018 3:50,28682,16,42,14127,776,70623,0.999178738
